STATE,COUNTY,YEAR,SEX,GEOID,perdrop,groups,CCR,CCRMinusOne,testval,uniqueid,a,b,c,rsq,n,reduce,diff,predCCR,AGE,POPULATION,cnty_year,PopMinusOne,predPop,numdiff,perdiff
28,059,2006,1,28059,0.9623240738726588,ccr15,0.7511709601873536,0.7948402948402948,0.9450589823686335,28059_2006,0.014566267892196585,1.0015479515559798,NA,0.852687950165383,48,0.9763860872681251,-0.02490004529480483,0.7760710054821585,15,1908,28059_2006,1928,1496.2648985696014,411.7351014303986,0.21579407831781897
28,059,2006,1,28059,0.9623240738726588,ccr16,0.5951265229615745,0.6593511450381679,0.9025942055915053,28059_2006,2.9424302700478645e-4,1.031977128647647,NA,0.6187517504984275,48,0.9614258684156655,-0.03879072424760943,0.633917247209184,16,1283,28059_2006,1294,820.2889178886841,462.71108211131593,0.3606477647009477
28,059,2006,1,28059,0.9623240738726588,ccr17,0.39767932489451474,0.4342105263157895,0.9158675361207006,28059_2006,0.47190176914108206,0.5196197530265166,NA,0.3093907846078947,48,1.5713675434333243,-0.2846250031752182,0.682304328069733,17,635,28059_2006,691,471.4722906961855,163.5277093038145,0.2575239516595504
28,059,2006,2,28059,0.9623240738726588,ccr1,0.9629381558383567,1.0070469059678484,0.9561999050212067,28059_2006,-0.028395502269465623,1.019277501158587,NA,0.8822595546235519,48,0.9346904766330705,0.02166100330740961,0.9412771525309471,1,4261,28059_2006,4573,4304.460418524021,-43.46041852402141,-0.010199581911293453
28,059,2006,2,28059,0.9623240738726588,ccr2,1.0253961804144656,1.072059413890004,0.9564732766944145,28059_2006,0.006381758340115632,1.0006101776707972,NA,0.8591376974665668,48,0.9684623370140568,-0.01285298497936771,1.0382491653938333,2,4313,28059_2006,4573,4747.913433346,-434.9134333459997,-0.10083780045119399
28,059,2006,2,28059,0.9623240738726588,ccr3,0.9340952380952381,0.9612703330751355,0.9717300180346111,28059_2006,0.023001443283145323,0.9743322758793362,NA,0.9141905277297867,48,0.9856866016749957,-0.013416049804583441,0.9475112878998215,3,5047,28059_2006,5341,5060.6577886729465,-13.65778867294648,-0.002706120204665441
28,059,2006,2,28059,0.9623240738726588,ccr4,0.841801878736123,0.8676771814829988,0.9701786524999416,28059_2006,-0.010714369353116811,0.9995445195042761,NA,0.8184209138611291,48,0.9520850718519199,0.015699387059610714,0.8261024916765123,4,4904,28059_2006,4964,4100.772768682207,803.2272313177928,0.16379021845795122
28,059,2006,2,28059,0.9623240738726588,ccr5,1.0056245605812046,1.0773133607151486,0.9334559444372295,28059_2006,-0.057914650716169934,1.0526734773767101,NA,0.7921296941522441,48,0.9063393057592026,0.029213117145523437,0.9764114434356812,5,3943,28059_2006,4236,4136.078874393545,-193.07887439354545,-0.04896750555250962
28,059,2006,2,28059,0.9623240738726588,ccr6,0.9733301864526788,1.0468422279189,0.9297773441826457,28059_2006,-0.006900120048531229,0.9977953034089146,NA,0.8237231896930532,48,0.9557877009027372,-0.027228739777826028,1.0005589262305048,6,4291,28059_2006,4459,4461.492252061821,-170.4922520618211,-0.03973252203724565
28,059,2006,2,28059,0.9623240738726588,ccr7,1.0180788499237639,1.060625957539943,0.9598849082339408,28059_2006,2.6087059018323638e-5,0.9899909932739698,NA,0.9001031949369798,48,0.9627191630540359,-0.0030060842324755033,1.0210849341562394,7,4124,28059_2006,4492,4586.713524229827,-462.71352422982727,-0.11220017561344017
28,059,2006,2,28059,0.9623240738726588,ccr8,0.9816828849456211,1.0084902177925434,0.9734183511411739,28059_2006,0.00989356799128521,0.9857833527880917,NA,0.9364631221285193,48,0.9724229205874002,0.0010038819759726758,0.9806790029696484,8,4674,28059_2006,4846,4752.370448390916,-78.37044839091595,-0.01676731886840307
28,059,2006,2,28059,0.9623240738726588,ccr9,0.977705274605764,0.9990764684152198,0.9786090509734897,28059_2006,0.0028710435993376773,0.9987863376400825,NA,0.9002148182948438,48,0.965135901664971,0.013460706429585856,0.9642445681761781,9,5145,28059_2006,5464,5268.632320514637,-123.63232051463729,-0.024029605542203555
28,059,2006,2,28059,0.9623240738726588,ccr10,0.9629781141337697,1.0173986844897094,0.9465100838190732,28059_2006,1.3893249783520286e-4,1.0025729488097246,NA,0.8966545758745452,48,0.9623626839996113,-0.016128414569420824,0.9791065287031905,10,5394,28059_2006,5409,5295.987213755558,98.0127862444424,0.01817070564413096
28,059,2006,2,28059,0.9623240738726588,ccr11,0.9812956204379562,1.0124442357360883,0.9692342410587326,28059_2006,-0.0343591653900721,1.0454900507879132,NA,0.9213400462272797,48,0.928198028973774,0.04154687638185994,0.9397487440560962,11,4708,28059_2006,4795,4506.095227748981,201.90477225101858,0.04288546564380174
28,059,2006,2,28059,0.9623240738726588,ccr12,0.9632495164410058,1.0122448979591836,0.9515973045485743,28059_2006,-0.01927249632879018,1.024912236906685,NA,0.8870440916549048,48,0.9430525834364818,0.008649350350199758,0.954600166090806,12,4302,28059_2006,4312,4116.235916183556,185.76408381644433,0.043180865601219046
28,059,2006,2,28059,0.9623240738726588,ccr13,0.9423592493297587,0.9789259007477906,0.9626461498361631,28059_2006,0.045680582210810394,0.9699792735225888,NA,0.8093910969911738,48,1.0084651167471164,-0.044853373454638024,0.9872126227843967,13,3486,28059_2006,3472,3427.6022263074256,58.39777369257445,0.01675208654405463
28,059,2006,2,28059,0.9623240738726588,ccr14,0.8756302521008403,0.9180398959236774,0.9538041385661491,28059_2006,0.08968382894643985,0.9217396862363089,NA,0.8072800073200679,48,1.0557858053780282,-0.09362323878610068,0.969253490886941,14,2812,28059_2006,2880,2791.45005375439,20.549946245610045,0.0073079467445270425
28,059,2006,2,28059,0.9623240738726588,ccr15,0.812624254473161,0.8621041879468846,0.9426056221910244,28059_2006,-0.01808214315263236,1.0444982410743733,NA,0.7398458518927267,48,0.9434658932902806,-7.416433174384229e-4,0.8133658977905994,15,2084,28059_2006,2117,1721.895605622699,362.1043943773011,0.17375450785858979
28,059,2006,2,28059,0.9623240738726588,ccr16,0.699252801992528,0.7595972309628697,0.9205573341890034,28059_2006,0.08558834747783181,0.9333041701840888,NA,0.627849376128333,48,1.0510038182628052,-0.09908678809130189,0.7983395900838299,16,1635,28059_2006,1688,1347.597228061505,287.4027719384951,0.17578151188898783
28,059,2006,2,28059,0.9623240738726588,ccr17,0.4563351842503786,0.47082699137493655,0.9692205260317848,28059_2006,0.40658328208992267,0.5811918732666721,NA,0.42814025904102726,48,1.4685318843709005,-0.23508926460613871,0.6914244488565173,17,1123,28059_2006,1207,834.5493097698164,288.45069023018357,0.2568572486466461
28,099,1985,1,28099,0.9868512963799976,ccr1,1.0311587147030186,1.0341463414634147,0.9971110212930132,28099_1985,-0.06992502068137155,1.0592175157550163,NA,0.856803035688519,48,0.9194820728982883,0.08027969297405702,0.9508790217289615,1,1025,28099_1985,1054,1002.2264889023255,22.773511097674486,0.022218059607487305
28,099,1985,1,28099,0.9868512963799976,ccr2,0.9954504094631483,1.0018034265103697,0.9936584195271211,28099_1985,-0.031736010159888806,1.0284093156506915,NA,0.9062799739973185,48,0.9556649036971177,0.03806203434367339,0.9573883751194749,2,1059,28099_1985,1060,1014.8316776266435,44.168322373356546,0.04170757542337729
28,099,1985,1,28099,0.9868512963799976,ccr3,0.9733333333333334,0.9661654135338346,1.0074189364461739,28099_1985,0.022291194547096674,0.967502945556038,NA,0.925892509131631,48,1.009530538682425,-0.002040157047806468,0.9753734903811399,3,1094,28099_1985,1111,1083.6399478134463,10.36005218655373,0.00946988316869628
28,099,1985,1,28099,0.9868512963799976,ccr4,0.8311567164179104,0.8393829401088929,0.9901996772892295,28099_1985,-0.03429082175899986,0.9949763634928149,NA,0.7392845835098616,48,0.9536483870824101,0.030680529438573467,0.800476186979337,4,1022,28099_1985,1028,822.8895202147584,199.11047978524164,0.1948243442125652
