STATE,COUNTY,YEAR,SEX,GEOID,perdrop,uniqueid,groups,testval
01,007,2000,1,01007,0.9595151775168425,01007_2000,ccr1,0.9548893873258445
01,007,2000,1,01007,0.9595151775168425,01007_2000,ccr2,0.9707232006285079
01,007,2000,1,01007,0.9595151775168425,01007_2000,ccr3,0.9555054929773327
01,007,2000,1,01007,0.9595151775168425,01007_2000,ccr4,0.8031352648867178
01,007,2000,1,01007,0.9595151775168425,01007_2000,ccr5,0.7952233405025241
01,007,2000,1,01007,0.9595151775168425,01007_2000,ccr6,0.8201612800326643
01,007,2000,1,01007,0.9595151775168425,01007_2000,ccr7,0.8153858816428434
01,007,2000,1,01007,0.9595151775168425,01007_2000,ccr8,0.8373155764460113
01,007,2000,1,01007,0.9595151775168425,01007_2000,ccr9,0.8981641478992239
01,007,2000,1,01007,0.9595151775168425,01007_2000,ccr10,0.9462963760521795
01,007,2000,1,01007,0.9595151775168425,01007_2000,ccr11,0.9758335882532886
01,007,2000,1,01007,0.9595151775168425,01007_2000,ccr12,0.9567048859054356
01,007,2000,1,01007,0.9595151775168425,01007_2000,ccr13,0.9736763240808988
01,007,2000,1,01007,0.9595151775168425,01007_2000,ccr14,1.0042407342860462
01,007,2000,1,01007,0.9595151775168425,01007_2000,ccr15,0.9567394630685769
01,007,2000,1,01007,0.9595151775168425,01007_2000,ccr16,1.0002801905295602
01,007,2000,1,01007,0.9595151775168425,01007_2000,ccr17,1.0189669087974171
01,007,2000,2,01007,0.9595151775168425,01007_2000,ccr1,0.9879860601614087
01,007,2000,2,01007,0.9595151775168425,01007_2000,ccr2,0.9826721105836633
01,007,2000,2,01007,0.9595151775168425,01007_2000,ccr3,0.9638141443501679
01,007,2000,2,01007,0.9595151775168425,01007_2000,ccr4,1.012692449984348
01,007,2000,2,01007,0.9595151775168425,01007_2000,ccr5,0.9958443471285229
01,007,2000,2,01007,0.9595151775168425,01007_2000,ccr6,0.9977250568735782
01,007,2000,2,01007,0.9595151775168425,01007_2000,ccr7,0.9792104331405641
01,007,2000,2,01007,0.9595151775168425,01007_2000,ccr8,0.9797948035717885
01,007,2000,2,01007,0.9595151775168425,01007_2000,ccr9,0.9805034562946755
01,007,2000,2,01007,0.9595151775168425,01007_2000,ccr10,1.0185815102907305
01,007,2000,2,01007,0.9595151775168425,01007_2000,ccr11,0.9894828776861518
01,007,2000,2,01007,0.9595151775168425,01007_2000,ccr12,0.9982831470839203
01,007,2000,2,01007,0.9595151775168425,01007_2000,ccr13,0.9557811894127616
01,007,2000,2,01007,0.9595151775168425,01007_2000,ccr14,0.9882005899705014
01,007,2000,2,01007,0.9595151775168425,01007_2000,ccr15,0.981670367721781
01,007,2000,2,01007,0.9595151775168425,01007_2000,ccr16,1.011834319526627
01,007,2000,2,01007,0.9595151775168425,01007_2000,ccr17,1.0052748020493711
05,093,1993,1,05093,0.9472514382428424,05093_1993,ccr1,0.919812115614786
05,093,1993,1,05093,0.9472514382428424,05093_1993,ccr2,0.9269611855981829
05,093,1993,1,05093,0.9472514382428424,05093_1993,ccr3,0.9120319293330335
05,093,1993,1,05093,0.9472514382428424,05093_1993,ccr4,0.8503837203507264
05,093,1993,1,05093,0.9472514382428424,05093_1993,ccr5,0.9213638467034876
05,093,1993,1,05093,0.9472514382428424,05093_1993,ccr6,0.9324682163822064
05,093,1993,1,05093,0.9472514382428424,05093_1993,ccr7,0.9323845371871308
05,093,1993,1,05093,0.9472514382428424,05093_1993,ccr8,0.9410298778340602
05,093,1993,1,05093,0.9472514382428424,05093_1993,ccr9,0.95045747489981
05,093,1993,1,05093,0.9472514382428424,05093_1993,ccr10,0.9471096537330503
05,093,1993,1,05093,0.9472514382428424,05093_1993,ccr11,0.9383916830012654
05,093,1993,1,05093,0.9472514382428424,05093_1993,ccr12,0.9471495515625485
05,093,1993,1,05093,0.9472514382428424,05093_1993,ccr13,0.9937928539717512
05,093,1993,1,05093,0.9472514382428424,05093_1993,ccr14,1.0088315496550715
05,093,1993,1,05093,0.9472514382428424,05093_1993,ccr15,0.983263493963883
05,093,1993,1,05093,0.9472514382428424,05093_1993,ccr16,0.9876442400670434
05,093,1993,1,05093,0.9472514382428424,05093_1993,ccr17,1.0026753794066814
05,093,1993,2,05093,0.9472514382428424,05093_1993,ccr1,0.9265085556769127
05,093,1993,2,05093,0.9472514382428424,05093_1993,ccr2,0.9303605947936855
05,093,1993,2,05093,0.9472514382428424,05093_1993,ccr3,0.9310844370860928
05,093,1993,2,05093,0.9472514382428424,05093_1993,ccr4,0.9311262037443448
05,093,1993,2,05093,0.9472514382428424,05093_1993,ccr5,0.938038861558008
05,093,1993,2,05093,0.9472514382428424,05093_1993,ccr6,0.9289931733378561
05,093,1993,2,05093,0.9472514382428424,05093_1993,ccr7,0.9382629602615015
05,093,1993,2,05093,0.9472514382428424,05093_1993,ccr8,0.9424934112505242
05,093,1993,2,05093,0.9472514382428424,05093_1993,ccr9,0.94163288940359
05,093,1993,2,05093,0.9472514382428424,05093_1993,ccr10,0.9519639165570382
05,093,1993,2,05093,0.9472514382428424,05093_1993,ccr11,0.9380530973451326
05,093,1993,2,05093,0.9472514382428424,05093_1993,ccr12,0.9450226261608785
05,093,1993,2,05093,0.9472514382428424,05093_1993,ccr13,1.006378291043954
05,093,1993,2,05093,0.9472514382428424,05093_1993,ccr14,0.9866868686222245
05,093,1993,2,05093,0.9472514382428424,05093_1993,ccr15,0.9738672218065901
05,093,1993,2,05093,0.9472514382428424,05093_1993,ccr16,0.9876609622432169
