type,ind,time,coefhat,tstat,y,yadj,GEOID,YEAR,perdrop
TC,6,1974,-8280.371742335308,-13.25694079792261,149832,158112.37174233532,20177,1973,0.9476298302840637
TC,5,1973,-9171.154994246834,-5.061298693924269,69601,78772.15499424684,21093,1972,0.883573643568382
AO,4,1972,-5419.5000000016635,-5.848745143948451,703267,708686.5000000016,21111,1971,0.9923527540033547
TC,6,1974,-532.0075429379167,-8.840457765980673,12711,13243.007542937918,21131,1973,0.9598272868747537
AO,18,1986,-221.4797123399852,-5.480395297013566,14558,14786.843381534887,21131,1985,0.9845238516679864
LS,21,1989,-508.43041332739193,-7.263548728744082,13814,14324.956151861243,21131,1988,0.9643310495023851
TC,4,1972,-317.32499588423696,-5.035036837232706,6379,6696.324995884237,21181,1971,0.9526120676521413
LS,16,1984,-3839.509393151343,-8.870225157582798,77370,77712.6077545587,21227,1983,0.9955913491458069
LS,38,2006,-2037.4163435625362,-15.490881646428766,7719,9756.416343562536,22023,2005,0.7911716482961635
LS,38,2006,-33443.99999999999,-16.538385952977194,426285,459729,22051,2005,0.9272527945811554
TC,38,2006,-242929.8470605197,-81.29508549673179,230172,473101.84706051974,22071,2005,0.48651680696261607
LS,38,2006,-7253.929390160328,-25.821863693872167,22329,29582.929390160327,22075,2005,0.7547934048555354
TC,25,1993,-4667.979502098058,-6.673414127991794,124681,129348.97950209805,22079,1992,0.9639117407801246
LS,38,2006,-58596.52611559007,-85.79126978881108,16563,75159.52611559007,22087,2005,0.22037126703709214
TC,5,1973,-1694.4564588803228,-8.687884865494258,9003,10697.456458880322,22125,1972,0.8416019298238231
AO,8,1976,-1229.586642478152,-9.175854666166034,9553,11363.785207874102,22125,1975,0.8406529888809068
TC,12,1980,-11563.238812457941,-5.538126961508948,785246,796809.2388124579,24510,1979,0.9854880713611059
TC,8,1976,-656.433962063298,-5.113002518365235,8122,8778.433962063298,25007,1975,0.9252219741129079
AO,5,1973,-10608.16666666667,-5.275326382324863,718240,728848.1666666666,25025,1972,0.9854452996497443
LS,10,1978,-22790.999999999996,-6.543544126322474,660362,683153,25025,1977,0.9666385128953543
LS,10,1978,-4978.320884892345,-11.520733208541671,31091,36069.320884892346,26033,1977,0.8619790790966203
LS,25,1993,-4521.279343059061,-24.72412599162844,25255,29776.27934305906,26069,1992,0.8481583514525637
LS,17,1985,-3765.4489799365506,-14.236070349056071,72487,76252.44897993655,26111,1984,0.9506186485770796
AO,5,1973,-1853.713277902847,-10.372868469654346,51415,53268.71327790285,27013,1972,0.9652007123162141
AO,10,1978,-426.3679642362264,-13.100613361273574,3683,3766.2780945537065,27031,1977,0.9778884903177669
AO,4,1972,-325.8043797900155,-7.71371563894017,14496,14821.804379790015,27033,1971,0.9780185751045088
AO,7,1975,-4418.232954493393,-6.610266170599962,166902,171320.2329544934,27037,1974,0.974210676238883
TC,8,1976,-862.2704319566835,-8.322228389849077,22436,23298.270431956684,27079,1975,0.9629899380524846
AO,6,1974,-628.6173555164136,-5.052491268923687,43477,43572.347895943654,27099,1973,0.9978117338048581
AO,6,1974,-938.9026250811689,-8.415792360259692,42856,43794.902625081166,27131,1973,0.9785613720135672
AO,6,1974,-624.7920829247292,-10.140009838046996,22609,23233.79208292473,27153,1973,0.973108475762598
AO,6,1974,-376.69661997209556,-21.925170971371067,5591,5967.6966199720955,27155,1973,0.9368773843644457
LS,4,1972,-869.0906487326226,-5.3548287810983854,14201,15070.090648732623,28031,1971,0.9423300981400724
TC,38,2006,-7655.705046513803,-23.399431121725268,40087,47742.7050465138,28045,2005,0.8396466006889397
TC,38,2006,-22770.654614659757,-16.597840209958377,174449,197219.65461465975,28047,2005,0.8845416565648566
TC,38,2006,-6555.602833892394,-6.6642546619178225,132717,139272.6028338924,28059,2005,0.952929702608408
AO,17,1985,-546.8241300915244,-6.366401944704019,24017,24563.824130091525,28099,1984,0.9777386400751157
TC,7,1975,-4340.319726948162,-6.868443191924993,88776,93116.31972694816,29019,1974,0.9533881951125689
AO,6,1974,-667.392449679247,-5.739777880316886,36086,36753.392449679246,29023,1973,0.9818413374876074
TC,7,1975,-4155.619713629435,-6.7879219212212565,168149,172304.61971362942,29077,1974,0.9758821340917262
LS,7,1975,-11886.524735788678,-5.240363407114327,635014,646900.5247357887,29095,1974,0.9816254210944666
AO,5,1973,-358.14138827436557,-18.6622687294964,5563,5921.1413882743655,29103,1972,0.939514805543473
AO,4,1972,-258.2756708615283,-7.348258600205209,4492,4750.275670861528,29129,1971,0.9456293300100863
LS,11,1979,-788.0687406395883,-6.35260334072964,22817,23605.06874063959,29143,1978,0.9666144272105927
AO,8,1976,-720.8107371193638,-6.830049342625006,37532,38252.81073711936,29145,1975,0.9811566595178349
AO,6,1974,-562.8119746938253,-7.129937250398823,13452,14014.811974693825,29186,1973,0.9598416321453275
AO,4,1972,-13105.840644531401,-7.482327309435158,946981,960086.8406445314,29189,1971,0.9863493174891002
TC,5,1973,-21903.415700213714,-10.435328539430582,539306,561209.4157002138,29510,1972,0.9609710473711758
AO,4,1972,-983.6508671864609,-6.008522143560228,42406,43389.65086718646,30093,1971,0.9773298275619372
AO,4,1972,-107.526436873257,-5.298083573696078,3618,3725.526436873257,31015,1971,0.9711379213930632
LS,10,1978,-1394.242548856508,-7.536869174451757,15703,17097.24254885651,31043,1977,0.9184521980739077
LS,7,1975,-9281.999999999784,-8.03871313544086,404440,413721.99999999977,31055,1974,0.977564644858142
AO,4,1972,-207.7659246811214,-7.8117567038734625,7952,8159.765924681122,31059,1971,0.9745377592201897
AO,4,1972,-156.8535893131508,-5.057984144751109,3779,3935.8535893131507,31077,1971,0.9601475040283388
TC,4,1972,-2036.626257403963,-9.933673097288533,34716,36752.626257403965,31157,1971,0.9445855585083888
AO,6,1974,-167.49999999999997,-5.744351801362453,1983,2150.5,31165,1973,0.9221111369448965
LS,12,1980,-272,-6.5959921675076245,1842,2114,31165,1979,0.8713339640491958
AO,4,1972,-176.59616043836672,-6.271036167455647,5046,5222.5961604383665,31181,1971,0.9661861352068348
TC,6,1974,-17734.09829835598,-5.612277622609519,1354613,1372347.098298356,36059,1973,0.9870775415925421
LS,12,1980,-1159.134497521598,-7.096685987410814,33781,34940.1344975216,36099,1979,0.9668251277737978
LS,5,1973,-1073.2413877348795,-5.440750961396728,22947,24020.24138773488,37131,1972,0.9553192921582006
AO,15,1983,-662.1206800157973,-5.388269863679421,54954,55616.120680015796,37161,1982,0.988094806471216
AO,4,1972,-251.22572296608354,-8.879749689530945,4149,4400.225722966084,38023,1971,0.9429061737322106
AO,6,1974,-130.65520830875653,-8.243188595689768,3768,3898.6552083087563,38047,1973,0.9664871086752412
AO,8,1976,-285.2854864094539,-5.142743835342002,11122,11407.285486409453,38067,1975,0.9749909400663865
AO,4,1972,-132.76319843395308,-9.703969885973109,1246,1378.763198433953,38087,1971,0.903708484107532
AO,7,1975,-655.6299844504009,-6.509495099107678,22250,22905.6299844504,39001,1974,0.9713769066864576
AO,7,1975,-6265.103221705824,-5.732894230380651,892940,899205.1032217059,39061,1974,0.9930326204786216
AO,17,1985,-494.8446467207713,-5.485957435397943,54469,54963.84464672077,39077,1984,0.9909969062407956
TC,28,1996,-4730.0890322168825,-6.2974848059533866,133975,138705.08903221687,39089,1995,0.9658982300849955
AO,5,1973,-1615.8163163792635,-6.962860665484586,28302,29917.816316379263,39097,1972,0.9459915022108534
AO,7,1975,-13623.742611927186,-31.519974614385877,289447,303070.7426119272,39099,1974,0.9550476482998163
LS,8,1976,-721.2365592881514,-7.023400384723885,25859,26580.23655928815,39117,1975,0.9728656832049103
LS,12,1980,-539.5481405725515,-5.253304951287888,26561,27821.784699860702,39117,1979,0.9546835433649584
AO,6,1974,-1038.9206338313302,-5.774917291120171,80357,80746.1675879732,39119,1973,0.9951803584046363
LS,42,2010,-1818.1916174801763,-6.738430864956041,9908,11726.191617480177,40011,2009,0.8449461106562673
TC,1,1969,-8218.033643605382,-6.818211364996681,26902,35120.033643605384,40089,1968,0.7660015441043942
TC,8,1976,-2969.353015918502,-15.82269869803816,34197,37843.14342401407,40089,1975,0.9036511480253951
AO,4,1972,-1751.63169848192,-11.140936290005692,57833,59584.63169848192,41011,1971,0.970602626070666
LS,18,1986,-1275.2179637796767,-5.00340350727465,21249,22524.217963779676,41065,1985,0.9433845842803376
TC,5,1973,-1304.6241641991644,-5.252908625770581,63676,64980.624164199166,42121,1972,0.9799228742262844
LS,6,1974,-18121.54509986927,-18.51120527420796,80416,98537.54509986927,44005,1973,0.8160950216336036
TC,12,1980,-7545.8092379140435,-5.833905776399713,572698,580243.809237914,44007,1979,0.9869954506747352
LS,6,1974,-9730.577791917036,-15.251455596259474,86300,96030.57779191704,44009,1973,0.8986720894983924
TC,7,1975,-4097.70053704702,-7.475586759906757,83849,97677.27832896405,44009,1974,0.8584289144258068
AO,6,1974,-7540.732794823198,-8.948336640210886,53707,61247.7327948232,45013,1973,0.8768814378797617
AO,8,1976,-4173.1869651582365,-6.550699259611788,268396,272569.1869651582,45045,1975,0.9846894397285939
AO,9,1977,-1559.0899370720476,-6.718481430543978,47759,49318.08993707205,45057,1976,0.9683870575875629
LS,16,1984,-913.6850535876861,-9.409460057046417,6976,7889.685053587686,46009,1983,0.88419245541719
AO,11,1979,-791.1906705209998,-5.150340325918997,36452,37243.190670521,46013,1978,0.9787560985974478
LS,6,1974,-373.9412381353049,-6.357017005316459,5309,5682.941238135305,46025,1973,0.9341993481076354
LS,12,1980,-3895.8731891520024,-5.066471617104437,70483,74378.873189152,46103,1979,0.947621239444641
LS,5,1973,-1601.6359720473583,-6.559807860047702,36708,38309.635972047356,47073,1972,0.9581923468754443
AO,48,2016,-1206.1666666666667,-13.494167687981841,25280,26486.166666666668,47097,2015,0.9544605045401058
