GEOID,YEAR,mean_mig,mean_base,SSP2,Inundated,mean_inun
01023,2085,15731.826939221546,16452.94019292217,SSP2,1,16452.94019292217
01023,2090,15964.149391204463,17036.06655563974,SSP2,1,17036.06655563974
01023,2095,16080.16810516766,17668.46793291144,SSP2,1,17668.46793291144
01023,2100,15975.820182438902,18322.165641494754,SSP2,1,18322.165641494754
01025,2020,25307.983008300893,25298.071877278602,SSP2,1,25298.071877278602
01025,2025,25838.80928804094,25816.80993409093,SSP2,1,25816.80993409093
01025,2030,26327.3197158668,26291.49659875958,SSP2,1,26291.49659875958
01025,2035,26747.243278415186,26695.91146587004,SSP2,1,26695.91146587004
01025,2040,27145.63431680488,27077.88070436504,SSP2,1,27077.88070436504
01025,2045,27541.210983848145,27457.942332545936,SSP2,1,27457.942332545936
01025,2050,28002.166802988533,27907.561113673124,SSP2,1,27907.561113673124
01025,2055,28611.65963742969,28513.85028529079,SSP2,1,28513.85028529079
01025,2060,29367.918605118404,29282.53025105481,SSP2,1,29282.53025105481
01025,2065,30191.600498906588,30144.476088746673,SSP2,1,30144.476088746673
01025,2070,31046.59480565858,31078.327752169047,SSP2,1,31078.327752169047
01025,2075,31896.66735667066,32067.67665776366,SSP2,1,32067.67665776366
01025,2080,32681.57445277812,33077.537225920205,SSP2,1,33077.537225920205
01025,2085,33454.58894520924,34192.06067497454,SSP2,1,34192.06067497454
01025,2090,34187.88614687585,35421.45338202818,SSP2,1,35421.45338202818
01025,2095,34836.31336676475,36759.70472547957,SSP2,1,36759.70472547957
01025,2100,35301.47352915756,38135.00375076466,SSP2,1,38135.00375076466
01027,2020,13641.086176469804,13641.086176469804,NA,1,13641.086176469804
01027,2025,13815.922156575434,13816.188771456913,NA,1,13816.188771456913
01027,2030,13931.82020566962,13932.092941754556,NA,1,13932.092941754556
01027,2035,14005.644087228244,14005.983447495944,NA,1,14005.983447495944
01027,2040,14075.654005929186,14076.375340966799,NA,1,14076.375340966799
01027,2045,14143.158189724696,14144.744381757579,NA,1,14144.744381757579
01027,2050,14257.755211858615,14260.864137243725,NA,1,14260.864137243725
01027,2055,14466.616432594263,14472.115947208598,NA,1,14472.115947208598
01027,2060,14765.477005505454,14774.53701904845,NA,1,14774.53701904845
01027,2065,15131.897143545271,15146.070778551124,NA,1,15146.070778551124
01027,2070,15543.153146020248,15564.525907208817,NA,1,15564.525907208817
01027,2075,15978.765751544292,16010.256543752925,NA,1,16010.256543752925
01027,2080,16433.942955725342,16480.256633528843,NA,1,16480.256633528843
01027,2085,16939.72860892673,17008.81316870636,NA,1,17008.81316870636
01027,2090,17496.3664763444,17601.98239194443,NA,1,17601.98239194443
01027,2095,18070.611073254255,18236.866280730144,NA,1,18236.866280730144
01027,2100,18628.888219192304,18898.79542310307,NA,1,18898.79542310307
01029,2020,15253.632754957996,15253.632754957996,NA,1,15253.632754957996
01029,2025,15505.498862354712,15505.900353497911,NA,1,15505.900353497911
01029,2030,15699.889998754015,15699.721919914478,NA,1,15699.721919914478
01029,2035,15853.03344068189,15852.28232285799,NA,1,15852.28232285799
01029,2040,16026.338886337155,16026.007477427205,NA,1,16026.007477427205
01029,2045,16215.812913039854,16217.679371285805,NA,1,16217.679371285805
01029,2050,16441.378892764136,16447.865931650296,NA,1,16447.865931650296
01029,2055,16744.328572744576,16758.368097815062,NA,1,16758.368097815062
01029,2060,17118.732350768336,17143.560432853043,NA,1,17143.560432853043
01029,2065,17561.931081789884,17600.53090717913,NA,1,17600.53090717913
01029,2070,18052.28771213354,18106.444813342314,NA,1,18106.444813342314
